Time resolution is 1 ps
cyc   PC   R1   R2   R3
  1    1    0    0    0
  2    2    0    0    0
  3    2   10    0    0
  4    3   10    0    0
  5    4   10    0    0
  6    4   10   20    0
  7    5   10   20    0
  8    6   10   20    0
  9    6   10   20   30
 10    7   10   20   30
 11    8   10   20   30
 12    8   10   20   30
 13    9   10   20   30
 14   10   10   20   30
 15    0   10   20   30
 16    1   10   20   30
 17    2   10   20   30
 18    2   10   20   30
 19    3   10   20   30
 20    4   10   20   30
 21    4   10   20   30
 22    5   10   20   30
 23    6   10   20   30
 24    6   10   20   30

PASS: R1=10 R2=20 R3=30
$finish called at time : 256 ns : File "D:/Git/softcore_CPU/cpu_tb.v" Line 37
